name,lat,lng
"USA - Ohio - Licking - Granville",39.78373,-100.445882
"USA - Ohio - Licking - Denison University",39.78373,-100.445882
"USA - Ohio - Lorain - Elyria",39.78373,-100.445882
"USA - Ohio - Hamilton - Cincinnati",39.78373,-100.445882
"USA - Ohio - Licking - Buckeye Lake",39.78373,-100.445882
"USA - Ohio - Licking - Alexandria",39.78373,-100.445882
"USA - Ohio - Erie - Cedar Point",39.78373,-100.445882
"USA - Ohio - Montgomery - Dayton",39.745331,-84.25712
"USA - Ohio - Richland - Mansfield",40.786896,-82.500929
"USA - Ohio - Ross - Chillicothe",39.348844,-82.998946
"USA - Ohio - Licking - Newark",40.053754,-82.391962
"USA - Ohio - Licking - Toboso",39.78373,-100.445882
"USA - Ohio - Pike - Waverly",39.78373,-100.445882
"USA - Ohio - Licking - Lake Hudson",39.78373,-100.445882
"USA - Ohio - Lake - Painesville",39.78373,-100.445882
"USA - Ohio - Licking - Licking Gorge",39.78373,-100.445882
"USA - Ohio - Greene - Yellow Springs",39.78373,-100.445882
"USA - Ohio - Hocking - Conkle's Hollow",39.78373,-100.445882
"USA - Ohio - Hamilton - Cumminsville",39.78373,-100.445882
"USA - Ohio - Erie - Township of Margaretta",39.78373,-100.445882
"USA - Ohio - Ottawa - North Bass Island",39.78373,-100.445882
"USA - Ohio - Perry - Corning",39.78373,-100.445882
"USA - Ohio - Ottawa - South Bass Island",39.78373,-100.445882
"USA - Ohio - Lucas - West Sister Island",39.78373,-100.445882
"USA - Ohio - Ottawa - Monument Pond (historical)",39.78373,-100.445882
"USA - Ohio - - - Salem",40.898583,-80.847561
"USA - Ohio - Lorain - Oberlin",39.78373,-100.445882
"USA - Ohio - Knox - Knox County",39.78373,-100.445882
"USA - Ohio - Lorain - Township of Carlisle",39.78373,-100.445882
"USA - Ohio - Scioto - Buena Vista",39.78373,-100.445882
"USA - Ohio - Summit - Akron",41.089746,-81.518074
"USA - Ohio - Lorain - Sheffield",39.78373,-100.445882
"USA - Ohio - Scioto - Wheelersburg",39.78373,-100.445882
"USA - Ohio - Licking - Cranberry Marsh",39.78373,-100.445882
"USA - Ohio - Hamilton - Clifton Heights",39.78373,-100.445882
"USA - Ohio - Licking - Welsh Hills",39.78373,-100.445882
"USA - Ohio - - - Preston",0,0,
"USA - Ohio - Licking - Township of Eden",39.78373,-100.445882
"USA - Ohio - Licking - Township of Newark",39.78373,-100.445882
"USA - Ohio - Ashtabula - Ashtabula County",39.78373,-100.445882
"USA - Ohio - Erie - Castalia",39.78373,-100.445882
"USA - Ohio - Morrow - Edison",39.78373,-100.445882
"USA - Ohio - Licking - Township of Washington",39.78373,-100.445882
"USA - Ohio - Licking - Township of Fallsbury",39.78373,-100.445882
"USA - Ohio - Licking - Township of Monroe",39.78373,-100.445882
"USA - Ohio - Coshocton - Mohawk Dam",39.78373,-100.445882
"USA - Ohio - Licking - Moundbuilders State Memorial",39.78373,-100.445882
"USA - Ohio - Licking - Vanatta",39.78373,-100.445882
"USA - Ohio - Monroe - Beallsville",39.78373,-100.445882
"USA - Ohio - Lorain - Black River",39.78373,-100.445882
"USA - Ohio - Licking - Township of Union",39.78373,-100.445882
"USA - Ohio - Clermont - Milford",39.169435,-84.300404
"USA - Ohio - Lorain - Kipton Reservoir",39.78373,-100.445882
"USA - Ohio - Hamilton - Little Miami River",39.78373,-100.445882
"USA - Ohio - Hamilton - New Baltimore",39.78373,-100.445882
"USA - Ohio - Portage - Nelson-Kennedy Ledges State Park",39.78373,-100.445882
"USA - Ohio - Ashtabula - Orwell",39.78373,-100.445882
"USA - Ohio - Erie  - Cedar Point",39.78373,-100.445882
