name,lat,lng
"Rangoon, Burma",16.80988,96.158713
"Shaowu, China",27.35402,117.471919
"Namhkam, Burma",23.832893,97.681722
Burma,17.17505,95.999965
"Namkham, Burma",23.832893,97.681722
"Pyay, Burma",18.816667,95.216667
"Kalaw, Burma",20.636188,96.56564
"Kangtang, Burma",39.78373,-100.445882
Namkham,23.832893,97.681722
"Naga Hills, India",39.78373,-100.445882
"Mandalay, Burma",21.526524,95.832299
"Sandoway, Burma",18.467956,94.367114
"Kachin Hills, Burma",39.78373,-100.445882
"Columbus, Ohio",39.96226,-83.000706
"Mawlamyine (Moulmein), Burma",16.490803,97.628483
"Kengtung, Burma",21.291804,99.602865
Insein,16.887988,96.10667
"Pyinmana, Burma",19.737385,96.208134
"Taungoo, Burma",18.933333,96.433333
"Mawlamyine, Burma",16.490803,97.628483
"Taunggyi, Burma",20.783341,97.033324
"Insein, Yangon",16.887988,96.10667
"Toungoo, Burma",39.78373,-100.445882
"Pathein, Burma",16.783333,94.733333
"Myingyan, Burma",21.458753,95.392413
